Sponsor,Period,Estimated annual sponsorship fee
DLF,2008–2012,₹40 crore (US$9 million)
Pepsi,2013–2015,₹79 crore (US$13 million)
Vivo,2016–2017,₹100 crore (US$15 million)
Vivo,"2018–2019, 2021",₹440 crore (US$64 million)
Dream11,2020,₹222 crore (US$30 million)
Tata,2022–2023,₹335 crore (US$43 million)
Tata,2024–2028,₹500 crore (US$52 million)[125]
