Rank,Player,Team,Years active,Apps,Runs,Wkts
1,MS Dhoni,"CSK, RPS",2008–present,264,"5,243",–
2,Dinesh Karthik,"DD, GL, KKR, KXIP, MI, RCB",2008–2024,257,"4,842",–
3,Rohit Sharma,"DCH, MI",2008–present,257,"6,628",15
4,Virat Kohli,RCB,2008–present,252,"8,004",4
5,Ravindra Jadeja,"CSK, GL, KTK, RR",2008–present,240,"2,959",160
6,Shikhar Dhawan,"DC, DCH, MI, PBKS, SRH",2008–2024,222,"6,769",4
7,R Ashwin,"CSK, DC, KXIP, RPS, RR",2009–present,212,800,180
8,Suresh Raina,"CSK, GL",2008–2021,205,"5,528",25
9,Robin Uthappa,"CSK, KKR, PWI, RCB, RR",2008–2022,205,"4,952",–
10,Ambati Rayudu,"CSK, MI",2010–2023,204,"4,348",–
